idx,Symbol,Company,Section,PF
0141,2173,（株）博展,グロース,
0142,2175,（株）エス・エム・エス,プライム,
0143,2179,（株）成学社,スタンダード,
0144,2181,パーソルホールディングス（株）,プライム,
0145,2193,クックパッド（株）,スタンダード,
0146,2198,アイ・ケイ・ケイホールディングス（株）,プライム,
0147,219A,Ｈｅａｒｔｓｅｅｄ（株）,グロース,
0148,2201,森永製菓（株）,プライム,
0149,2204,（株）中村屋,スタンダード,
0150,2206,江崎グリコ（株）,プライム,
0151,2207,（株）ｍｅｉｔｏ,プライム,
0152,2211,（株）不二家,プライム,
0153,2212,山崎製パン（株）,プライム,
0154,2215,第一屋製パン（株）,スタンダード,
0155,2216,カンロ（株）,スタンダード,
0156,2217,モロゾフ（株）,プライム,
0157,2220,亀田製菓（株）,プライム,
0158,2222,寿スピリッツ（株）,プライム,
0159,2226,（株）湖池屋,スタンダード,
0160,2229,カルビー（株）,プライム,
0161,2264,森永乳業（株）,プライム,
0162,2266,六甲バター（株）,プライム,
0163,2267,（株）ヤクルト本社,プライム,
0164,2269,明治ホールディングス（株）,プライム,
0165,2270,雪印メグミルク（株）,プライム,
0166,2281,プリマハム（株）,プライム,
0167,2282,日本ハム（株）,プライム,
0168,2286,林兼産業（株）,スタンダード,
0169,2288,丸大食品（株）,プライム,
0170,2291,福留ハム（株）,スタンダード,
0171,2292,Ｓ　Ｆｏｏｄｓ（株）,プライム,
0172,2294,（株）柿安本店,プライム,
0173,2296,伊藤ハム米久ホールディングス（株）,プライム,
0174,2301,（株）学情,プライム,
0175,2304,（株）ＣＳＳホールディングス,スタンダード,
0176,2305,（株）スタジオアリス,スタンダード,
0177,2315,（株）ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,スタンダード,
0178,2317,（株）システナ,プライム,
0179,2325,（株）ＮＪＳ,プライム,
0180,2326,デジタルアーツ（株）,プライム,
0181,2327,日鉄ソリューションズ（株）,プライム,
0182,2331,ＡＬＳＯＫ（株）,プライム,
0183,2332,（株）クエスト,スタンダード,
0184,2335,（株）キューブシステム,プライム,
0185,2337,いちご（株）,プライム,
0186,2353,日本駐車場開発（株）,プライム,
0187,2359,（株）コア,プライム,
0188,2371,（株）カカクコム,プライム,
0189,2378,（株）ルネサンス,プライム,
0190,2379,ディップ（株）,プライム,
0191,2384,ＳＢＳホールディングス（株）,プライム,
0192,2395,（株）新日本科学,プライム,
0193,2404,（株）鉄人化ホールディングス,スタンダード,
0194,2410,（株）キャリアデザインセンター,プライム,
0195,2411,ゲンダイエージェンシー（株）,スタンダード,
0196,2413,エムスリー（株）,プライム,
0197,2418,（株）ツカダ・グローバルホールディング,スタンダード,
0198,241A,（株）ＲＯＸＸ,グロース,
0199,2428,ウェルネット（株）,スタンダード,
0200,2429,（株）ワールドホールディングス,プライム,
0201,2432,（株）ディー・エヌ・エー,プライム,
0202,2433,（株）博報堂ＤＹホールディングス,プライム,
0203,2435,（株）シダー,スタンダード,
0204,2438,（株）アスカネット,グロース,
0205,2440,（株）ぐるなび,スタンダード,
0206,2445,（株）タカミヤ,スタンダード,
0207,2461,（株）ファンコミュニケーションズ,プライム,
0208,2462,ライク（株）,プライム,
0209,2464,（株）Ａｏｂａ‐ＢＢＴ,スタンダード,
0210,2471,（株）エスプール,プライム,
0211,2475,ＷＤＢホールディングス（株）,プライム,
0212,2477,手間いらず（株）,スタンダード,
0213,2484,（株）出前館,スタンダード,
0214,2485,（株）ティア,スタンダード,
0215,2489,（株）アドウェイズ,スタンダード,
0216,2491,バリューコマース（株）,プライム,
0217,2492,（株）インフォマート,プライム,
0218,2497,ユナイテッド（株）,グロース,
0219,2501,サッポロホールディングス（株）,プライム,
0220,2502,アサヒグループホールディングス（株）,プライム,
0221,2503,キリンホールディングス（株）,プライム,
0222,2531,宝ホールディングス（株）,プライム,
0223,2533,オエノンホールディングス（株）,プライム,
0224,253A,（株）ＥＴＳグループ,スタンダード,
0225,2540,養命酒製造（株）,プライム,
0226,255A,ジーエルテクノホールディングス（株）,スタンダード,
0227,256A,飛島ホールディングス（株）,プライム,
0228,2579,コカ・コーラ　ボトラーズジャパンホールディングス（株）,プライム,
0229,2585,（株）ライフドリンク　カンパニー,プライム,
0230,2587,サントリービバレッジ＆フード（株）,プライム,
0231,2590,ダイドーグループホールディングス（株）,プライム,
0232,2593,（株）伊藤園,プライム,
0233,25935,（株）伊藤園第１種優先株式,プライム,
0234,2594,キーコーヒー（株）,プライム,
0235,2602,日清オイリオグループ（株）,プライム,
0236,2607,不二製油（株）,プライム,
0237,2613,（株）Ｊ－オイルミルズ,プライム,
0238,2652,（株）まんだらけ,スタンダード,
0239,2654,（株）アスモ,スタンダード,
0240,2659,（株）サンエー,プライム,
0241,2664,（株）カワチ薬品,プライム,
0242,2667,（株）イメージ　ワン,スタンダード,
0243,2669,カネ美食品（株）,スタンダード,
0244,2670,（株）エービーシー・マート,プライム,
0245,2674,（株）ハードオフコーポレーション,プライム,
0246,2676,高千穂交易（株）,プライム,
0247,2678,アスクル（株）,プライム,
0248,2681,（株）ゲオホールディングス,プライム,
0249,2685,（株）アンドエスティＨＤ,プライム,
0250,2687,（株）シー・ヴイ・エス・ベイエリア,スタンダード,
0251,2689,オルバヘルスケアホールディングス（株）,スタンダード,
0252,2694,（株）焼肉坂井ホールディングス,スタンダード,
0253,2695,くら寿司（株）,プライム,
0254,2698,（株）キャンドゥ,スタンダード,
0255,2702,日本マクドナルドホールディングス（株）,スタンダード,
0256,2705,（株）大戸屋ホールディングス,スタンダード,
0257,2722,（株）ＩＫホールディングス,スタンダード,
0258,2726,（株）パルグループホールディングス,プライム,
0259,2730,（株）エディオン,プライム,
0260,2733,（株）あらた,プライム,
0261,2734,（株）サーラコーポレーション,プライム,
0262,2735,（株）ワッツ,スタンダード,
0263,2742,（株）ハローズ,プライム,
0264,2749,（株）ＪＰホールディングス,プライム,
0265,2750,石光商事（株）,スタンダード,
0266,2751,（株）テンポスホールディングス,スタンダード,
0267,2752,（株）フジオフードグループ本社,プライム,
0268,2760,東京エレクトロン　デバイス（株）,プライム,
0269,2763,（株）エフティグループ,スタンダード,
0270,2768,双日（株）,プライム,
0271,2778,パレモ・ホールディングス（株）,スタンダード,
0272,2782,（株）セリア,スタンダード,
0273,2784,アルフレッサ　ホールディングス（株）,プライム,
0274,2791,大黒天物産（株）,プライム,
0275,2792,（株）ハニーズホールディングス,プライム,
0276,2796,ファーマライズホールディングス（株）,スタンダード,
0277,2801,キッコーマン（株）,プライム,
0278,2802,味の素（株）,プライム,
0279,2804,ブルドックソース（株）,プライム,
0280,2809,キユーピー（株）,プライム,
0281,2810,ハウス食品グループ本社（株）,プライム,
0282,2811,カゴメ（株）,プライム,
0283,2815,アリアケジャパン（株）,プライム,
0284,2816,（株）ダイショー,スタンダード,
0285,2818,（株）ピエトロ,スタンダード,
0286,2819,エバラ食品工業（株）,スタンダード,
0287,285A,キオクシアホールディングス（株）,プライム,
0288,286A,（株）ユカリア,グロース,
0289,2871,（株）ニチレイ,プライム,
0290,2874,横浜冷凍（株）,プライム,
0291,2875,東洋水産（株）,プライム,
0292,2882,（株）イートアンドホールディングス,プライム,
0293,2884,（株）ヨシムラ・フード・ホールディングス,プライム,
0294,2897,日清食品ホールディングス（株）,プライム,
0295,2903,シノブフーズ（株）,スタンダード,
0296,2904,一正蒲鉾（株）,スタンダード,
0297,2907,（株）あじかん,スタンダード,
0298,2908,フジッコ（株）,プライム,
0299,2910,（株）ロック・フィールド,プライム,
0300,2914,日本たばこ産業（株）,プライム,
0301,2915,ケンコーマヨネーズ（株）,プライム,
0302,2918,わらべや日洋ホールディングス（株）,プライム,
0303,2922,（株）なとり,プライム,
0304,2924,イフジ産業（株）,スタンダード,
0305,2926,（株）篠崎屋,スタンダード,
0306,2929,（株）ファーマフーズ,プライム,
0307,2930,（株）北の達人コーポレーション,プライム,
0308,2931,（株）ユーグレナ,プライム,
0309,2933,（株）紀文食品,プライム,
0310,2936,ベースフード（株）,グロース,
0311,2937,（株）サンクゼール,グロース,
0312,2938,（株）オカムラ食品工業,スタンダード,
0313,296A,令和アカウンティング・ホールディングス（株）,グロース,
0314,2975,スター・マイカ・ホールディングス（株）,プライム,
0315,2980,ＳＲＥホールディングス（株）,プライム,
0316,2982,（株）ＡＤワークスグループ,プライム,
0317,2984,ヤマイチエステート（株）,スタンダード,
0318,2986,（株）ＬＡホールディングス,グロース,
0319,299A,クラシル（株）,グロース,
0320,3001,片倉工業（株）,スタンダード,
0321,3002,グンゼ（株）,プライム,
0322,3003,ヒューリック（株）,プライム,
0323,3004,神栄（株）,スタンダード,
0324,3023,ラサ商事（株）,スタンダード,
0325,3028,（株）アルペン,プライム,
